HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within an hour,0.88,0.88,t,2,Centro Storico,43.76604,11.24482,Entire home/apt,4,1,1,2,70,1,26,56,86,361,32,2018.8,4.63,4.59,4.72,4.88,4.97,4.84,4.63,t,0.95,29.925
within an hour,1,1,t,2,Centro Storico,43.77348,11.24905,Entire home/apt,4,2,2,1,107,2,30,60,90,90,34,2019.1,5,4.97,5,5,5,4.97,4.68,t,1.1,52.965
within a few hours,1,1,f,2,Centro Storico,43.78609,11.23881,Entire home/apt,6,2,3,3,70,2,27,57,87,362,7,2018.9,4.43,4.43,4.43,4.43,4.57,4.57,4.29,t,0.21,6.615
within a few hours,1,0.63,f,3,Centro Storico,43.77286,11.26404,Private room,2,1,1,1,40,4,2,7,37,217,2,2019.4,4.5,5,5,5,5,5,5,f,0.07,1.26
within an hour,1,1,t,5,Centro Storico,43.76981,11.26564,Entire home/apt,6,2,2,2,90,1,0,0,0,102,8,2019.1,5,5,4.75,5,5,4.75,5,t,0.26,10.53
within an hour,1,0.97,t,4,Centro Storico,43.78045,11.26304,Entire home/apt,6,1,2,3,170,2,6,21,51,135,32,2020,4.97,4.94,4.91,4.91,5,4.81,4.94,t,1.66,126.99
within an hour,1,1,t,2,Centro Storico,43.76721,11.25761,Entire home/apt,2,1,1,1,,1,24,51,81,171,131,2018.9,4.85,4.95,4.95,4.98,4.94,4.98,4.86,t,3.99,116.7075
within an hour,1,1,t,2,Centro Storico,43.7687,11.25925,Entire home/apt,2,1,1,1,65,1,24,54,84,174,106,2018.9,4.75,4.87,4.9,4.88,4.91,4.96,4.71,t,3.19,93.3075
within a few hours,1,1,f,2,Centro Storico,43.76869,11.26553,Entire home/apt,6,1,2,2,132,2,28,46,76,339,20,2018.9,4.75,4.85,4.7,4.95,4.89,4.95,4.68,f,0.61,36.234
within an hour,1,0.9,t,1,Centro Storico,43.77959,11.25701,Entire home/apt,4,1,1,1,60,2,11,22,48,286,28,2018.9,4.93,4.93,4.96,4.93,4.93,4.93,4.89,t,0.83,22.41
within an hour,1,1,t,35,Centro Storico,43.76737,11.25034,Entire home/apt,4,2,2,2,307,3,0,0,0,0,4,2019.1,4.75,4.75,5,5,4.75,5,4.75,t,0.13,17.9595
within an hour,1,0.97,t,4,Centro Storico,43.78067,11.26501,Entire home/apt,5,1,2,3,164,2,1,21,51,135,4,2020.2,5,5,5,5,5,5,5,t,0.23,16.974
within an hour,1,0.97,t,4,Centro Storico,43.78213,11.2636,Entire home/apt,4,1,1,2,143,2,17,45,71,154,3,2019.5,5,5,5,5,5,5,5,t,0.11,7.0785
within an hour,1,1,f,3,Centro Storico,43.77864,11.23947,Private room,3,0,1,3,35,2,29,59,89,89,58,2018.8,4.86,4.88,4.91,4.86,4.84,4.67,4.78,t,1.72,27.09
within an hour,1,1,f,3,Centro Storico,43.77864,11.23947,Private room,3,0,1,3,30,2,7,37,67,67,53,2018.8,4.87,4.94,4.87,4.98,4.91,4.87,4.85,t,1.57,21.195
within an hour,1,1,t,2,Centro Storico,43.77286,11.2551,Entire home/apt,4,1,1,1,84,2,5,12,21,285,111,2018.9,4.86,4.92,4.82,4.96,4.94,5,4.9,t,3.39,128.142
within an hour,1,1,t,2,Centro Storico,43.7707,11.25509,Entire home/apt,4,1,1,2,82,2,13,29,49,324,23,2020.1,4.91,4.96,4.78,5,5,5,4.91,t,1.24,45.756
within an hour,1,1,t,59,Centro Storico,43.77266,11.25398,Entire home/apt,6,1.5,2,3,169,2,14,37,63,176,22,2018.9,4.68,4.59,4.95,5,4.95,5,4.59,t,0.66,50.193
within a few hours,1,0.63,f,3,Centro Storico,43.77124,11.2643,Private room,2,0,1,1,30,5,3,20,50,231,3,2019.4,5,5,5,5,5,5,5,f,0.11,1.485
within an hour,1,1,f,33,Centro Storico,43.77402,11.26322,Entire home/apt,4,1.5,1,2,89,2,30,57,87,259,3,2019.6,3.33,4.33,4.33,4,4.67,4.67,3.67,t,0.12,4.806
within an hour,1,1,t,4,Centro Storico,43.77186,11.26162,Entire home/apt,4,2,2,2,115,3,18,26,49,323,35,2020.8,4.89,4.94,4.94,4.94,4.94,5,5,f,3.7,191.475
within an hour,0.97,1,f,38,Centro Storico,43.77658,11.26244,Entire home/apt,4,1,2,2,60,2,9,29,59,326,19,2019.3,4.79,5,4.63,4.84,4.89,4.89,4.79,t,0.68,18.36
within a few hours,1,0,f,2,Centro Storico,43.77347,11.26474,Entire home/apt,6,2,2,2,185,4,29,59,89,364,2,2018.8,5,5,5,5,5,5,5,f,0.06,4.995
within an hour,0.93,1,f,2,Centro Storico,43.77167,11.25565,Entire home/apt,2,1,1,2,60,3,14,31,61,336,44,2018.9,4.6,4.81,4.37,4.91,4.93,4.95,4.63,t,1.32,35.64
within an hour,0.89,0.99,f,23,Centro Storico,43.76561,11.24645,Entire home/apt,4,1,1,,68,2,0,0,0,0,2,2019.1,3.5,4,5,3,3.5,3,3,t,0.07,2.142
within an hour,0.97,0.63,t,87,Centro Storico,43.76825,11.26135,Entire home/apt,6,2,2,2,402,2,12,36,58,173,9,2019.5,4.89,5,5,4.78,4.89,5,4.67,t,0.36,65.124
within an hour,1,0.97,f,68,Centro Storico,43.77164,11.25557,Entire home/apt,5,1,2,4,93,1,13,25,43,302,39,2018.9,4.82,4.85,4.79,4.77,4.67,4.87,4.82,t,1.18,49.383
within an hour,1,0.97,f,2,Centro Storico,43.76824,11.25157,Entire home/apt,4,1,1,1,53,1,9,23,23,23,186,2018.8,4.83,4.9,4.69,4.95,4.99,4.98,4.87,t,5.52,131.652
within an hour,1,1,t,1,Centro Storico,43.76659,11.24819,Entire home/apt,4,1,1,1,77,1,4,15,30,290,77,2018.9,4.95,4.97,4.99,4.99,4.97,4.96,4.9,f,2.3,79.695
within an hour,1,1,t,2,Centro Storico,43.7661,11.24507,Entire home/apt,2,1,1,1,52,2,0,3,5,260,75,2019.1,4.87,4.93,4.93,4.97,4.97,4.88,4.91,t,2.44,57.096
within an hour,1,1,t,1,Centro Storico,43.76234,11.2444,Entire home/apt,2,1,1,1,69,2,17,47,77,120,38,2018.9,4.97,4.97,4.95,5,5,4.97,4.92,f,1.14,35.397
within a few hours,1,1,f,1,Centro Storico,43.77137,11.26774,Entire home/apt,3,1,1,2,69,2,30,60,87,362,52,2018.9,4.88,4.96,4.88,4.96,4.94,4.88,4.75,f,1.55,48.1275
within an hour,1,1,t,3,Centro Storico,43.78363,11.26043,Entire home/apt,5,1,1,3,64,2,18,42,42,42,33,2019.1,4.61,4.82,4.79,4.85,4.82,4.91,4.7,t,1.07,30.816
within an hour,1,1,f,5,Centro Storico,43.77098,11.26957,Entire home/apt,7,2,3,4,120,2,24,24,24,24,19,2019.7,4.74,4.89,4.68,4.58,4.74,4.89,4.89,t,0.82,44.28
within an hour,0.96,1,f,247,Centro Storico,43.76951,11.2611,Entire home/apt,5,2,2,3,184,1,19,24,30,106,13,2018.9,4.62,4.85,4.85,4.85,4.85,5,4.62,t,0.4,33.12
within an hour,1,1,t,32,Centro Storico,43.77483,11.256,Entire home/apt,6,0,3,3,93,1,1,12,18,232,74,2018.9,4.82,4.86,4.84,4.81,4.86,4.93,4.74,t,2.21,92.4885
within an hour,1,0.99,f,58,Centro Storico,43.76889,11.26291,Entire home/apt,4,1,,2,65,2,0,0,0,0,75,2018.9,4.45,4.68,4.51,4.56,4.73,4.92,4.53,t,2.23,65.2275
within an hour,1,1,t,2,Centro Storico,43.77334,11.24604,Entire home/apt,2,1,1,1,75,2,3,15,40,220,57,2018.9,4.98,4.88,4.88,4.94,4.94,4.91,4.74,t,1.73,58.3875
within a few hours,1,0.86,t,17,Centro Storico,43.76934,11.25833,Entire home/apt,5,1,2,3,71,3,1,10,25,297,32,2019.4,4.75,4.78,4.84,5,4.91,5,4.81,f,1.17,37.3815
within an hour,1,0.96,t,1,Centro Storico,43.77238,11.25906,Entire home/apt,4,2,2,3,65,1,5,22,41,291,36,2018.9,4.75,4.92,4.78,4.86,4.75,4.97,4.81,t,1.08,31.59
within an hour,1,1,t,4,Centro Storico,43.76222,11.26138,Entire home/apt,4,1,2,4,90,1,0,0,0,88,36,2018.9,4.94,5,5,5,4.97,4.97,5,t,1.09,44.145
within an hour,0.97,1,f,254,Centro Storico,43.77978,11.25584,Entire home/apt,5,1,1,4,47,2,12,42,72,304,25,2019.3,4.52,4.6,4.56,4.88,4.76,4.96,4.68,t,0.87,18.4005
within an hour,0.97,1,f,254,Centro Storico,43.76982,11.26018,Entire home/apt,3,1,2,2,61,2,12,42,72,113,63,2018.9,4.63,4.87,4.75,4.81,4.92,4.92,4.65,t,1.92,52.704
within an hour,1,1,t,3,Centro Storico,43.77243,11.26284,Entire home/apt,4,1,2,3,60,1,0,0,0,3,55,2019,4.82,4.95,4.78,5,5,4.96,4.82,t,1.73,46.71
within an hour,1,1,t,5,Centro Storico,43.76513,11.26215,Entire home/apt,4,1,2,2,54,3,9,32,58,327,19,2019.4,4.95,4.95,4.95,5,5,4.89,4.89,t,0.69,16.767
within an hour,1,1,f,1,Centro Storico,43.76872,11.25564,Entire home/apt,4,1,2,3,98,1,0,7,17,193,99,2018.9,4.97,4.92,4.97,4.94,4.89,4.99,4.89,t,3.05,134.505
within an hour,1,1,f,9,Centro Storico,43.77077,11.25603,Entire home/apt,4,1,1,2,45,1,1,11,30,294,47,2019.1,4.6,4.64,4.64,4.81,4.89,4.98,4.55,t,1.53,30.9825
within an hour,1,1,t,1,Centro Storico,43.77938,11.25813,Entire home/apt,4,1,1,2,57,3,30,60,90,270,43,2019.1,4.95,4.95,4.98,4.95,4.98,4.7,4.84,t,1.39,35.6535
within an hour,1,1,t,8,Centro Storico,43.78455,11.24055,Hotel room,4,1,1,2,162,1,25,42,58,305,7,2019.1,5,4.86,4.86,4.86,4.71,4.57,5,t,0.23,16.767
within an hour,1,1,f,32,Centro Storico,43.77707,11.25773,Entire home/apt,8,2,2,4,156,1,9,28,55,118,66,2019.2,4.83,4.92,4.92,4.95,4.88,4.95,4.86,t,2.28,160.056
within a day,1,0.5,t,1,Centro Storico,43.76896,11.24132,Entire home/apt,7,1.5,2,5,100,2,0,10,17,292,15,2019.1,4.93,5,5,5,5,4.88,4.63,f,0.49,22.05
within an hour,1,1,f,5,Centro Storico,43.76962,11.25327,Entire home/apt,4,1,1,1,97,3,3,10,25,226,15,2019.3,4.93,4.87,5,4.8,4.93,5,4.87,t,0.52,22.698
within an hour,1,1,f,32,Centro Storico,43.77707,11.25773,Entire home/apt,4,1,1,3,73,1,15,42,72,135,41,2019.8,4.73,4.76,4.73,4.85,4.93,5,4.63,t,1.89,62.0865
within an hour,1,1,f,32,Centro Storico,43.7782,11.25878,Entire home/apt,2,1,1,1,99,1,11,34,64,171,27,2019.8,4.63,4.85,4.74,4.85,4.89,4.81,4.63,t,1.19,53.0145
within an hour,1,1,t,8,Centro Storico,43.7851,11.24239,Hotel room,2,1,1,1,120,1,26,54,75,309,21,2019.6,4.9,4.9,4.95,5,5,4.76,4.81,t,0.87,46.98
within a few hours,1,0.94,t,2,Centro Storico,43.76702,11.24893,Entire home/apt,2,1,1,1,74,2,5,9,20,107,91,2019,4.87,4.97,4.85,4.91,4.87,4.95,4.84,f,2.82,93.906
within an hour,1,1,f,8,Centro Storico,43.76652,11.25394,Entire home/apt,6,0,3,4,230,2,0,0,0,133,53,2019,4.75,4.89,4.83,4.81,4.81,4.89,4.79,t,1.67,172.845
within an hour,1,1,f,8,Centro Storico,43.76652,11.25394,Entire home/apt,6,2,2,3,149,2,0,0,9,83,56,2018.9,4.5,4.68,4.57,4.89,4.88,4.89,4.66,t,1.72,115.326
within a day,0.9,1,f,24,Centro Storico,43.76456,11.25871,Entire home/apt,5,0,3,3,265,2,26,50,56,132,11,2019.4,4.82,4.73,4.73,5,4.91,5,4.73,t,0.41,48.8925
within a day,1,1,t,3,Centro Storico,43.77491,11.24108,Entire home/apt,8,0,4,5,280,3,8,36,62,270,6,2019.4,5,5,4.83,5,4.83,5,5,f,0.22,27.72
within an hour,1,0.98,f,16,Centro Storico,43.76618,11.25201,Entire home/apt,4,1,1,2,51,1,3,9,39,314,12,2021.5,4.92,4.92,5,4.92,5,5,5,t,6.92,158.814
within an hour,1,1,f,2,Centro Storico,43.7707,11.25868,Entire home/apt,3,1,1,3,58,2,9,26,46,313,54,2018.9,4.8,4.89,4.94,4.96,4.94,4.98,4.8,t,1.65,43.065
within an hour,1,1,t,17,Centro Storico,43.77105,11.2661,Entire home/apt,4,2,2,3,160,3,29,59,89,364,1,2018.9,0,,,,,,,f,0.03,2.16
within an hour,1,1,t,7,Centro Storico,43.77427,11.26205,Entire home/apt,4,1,1,4,138,2,9,24,48,323,5,2019.2,5,5,5,5,5,5,5,t,0.17,10.557
within an hour,1,0.96,f,5,Centro Storico,43.77827,11.25272,Private room,2,1,1,1,70,1,30,60,90,181,37,2018.9,4.73,4.86,4.95,4.95,4.97,4.95,4.76,f,1.11,34.965
within a day,0.6,1,f,4,Centro Storico,43.7679,11.25845,Entire home/apt,4,2,2,2,90,3,17,47,60,320,4,2019.4,5,4.75,4.75,5,4.75,5,4.75,t,0.15,6.075
a few days or more,0,1,f,4,Centro Storico,43.77467,11.25843,Entire home/apt,4,1.5,1,1,60,1,19,32,62,152,10,2019.5,4.9,5,4.7,4.5,5,5,4.9,f,0.4,10.8
within an hour,1,0.96,f,5,Centro Storico,43.77827,11.25272,Private room,2,1,1,1,70,1,30,60,90,181,42,2018.9,4.76,4.86,4.9,4.88,4.98,4.93,4.81,f,1.27,40.005
within a day,1,0.94,f,7,Centro Storico,43.77146,11.25444,Entire home/apt,6,2,2,3,97,3,2,11,18,86,177,2019,4.77,4.89,4.81,4.93,4.85,4.95,4.84,t,5.61,244.8765
within an hour,1,1,t,2,Centro Storico,43.77842,11.25405,Entire home/apt,4,1,2,3,77,2,6,25,25,158,40,2019.1,4.95,5,4.93,4.93,5,4.98,4.93,t,1.3,45.045
within an hour,1,1,f,33,Centro Storico,43.77287,11.2643,Entire home/apt,4,1,1,2,112,1,29,59,89,262,4,2019.8,4.5,5,4.75,4.75,5,5,4.75,t,0.18,9.072
within an hour,1,1,t,35,Centro Storico,43.77163,11.25266,Entire home/apt,4,2,2,2,307,3,0,0,0,0,8,2019.1,5,4.88,4.88,5,4.75,5,4.63,t,0.26,35.919
within a few hours,0.75,1,f,6,Centro Storico,43.77607,11.25993,Entire home/apt,3,1,1,2,47,2,6,22,46,321,11,2019.1,4.27,4.27,4.36,4.55,4.64,5,4.27,f,0.35,7.4025
within an hour,1,1,t,35,Centro Storico,43.7692,11.26443,Entire home/apt,6,2,2,3,100,2,0,0,3,73,23,2019,4.78,4.91,4.91,4.52,4.65,4.83,4.74,t,0.73,32.85
within a few hours,0.75,1,f,6,Centro Storico,43.77669,11.25554,Entire home/apt,4,1,1,2,51,2,0,2,11,286,7,2019.2,4.71,4.86,4.71,5,4.71,5,5,f,0.24,5.508
within an hour,1,1,t,1,Centro Storico,43.77365,11.24661,Private room,2,2,1,1,38,2,14,38,38,39,65,2019.1,4.82,4.95,4.95,5,5,4.94,4.85,f,2.1,35.91
within a few hours,0.8,1,f,2,Centro Storico,43.77378,11.24436,Entire home/apt,2,1,1,1,80,2,22,47,73,294,1,2021.5,5,5,5,5,5,5,5,f,1,36
within a few hours,0.9,0.92,f,16,Centro Storico,43.76696,11.25382,Private room,16,0,6,13,43,1,30,60,90,365,3,2019.1,4,3.67,5,5,4.33,5,4,f,0.1,1.935
within an hour,1,1,t,5,Centro Storico,43.77157,11.24926,Entire home/apt,2,1,1,2,220,2,30,60,90,365,11,2019.4,4.91,4.86,5,5,5,5,4.71,t,0.41,40.59
within an hour,1,1,t,1,Centro Storico,43.77152,11.25769,Entire home/apt,4,1,1,2,65,2,9,30,44,291,33,2019.2,4.88,4.97,4.91,4.97,5,4.91,5,t,1.11,32.4675
within an hour,1,1,t,5,Centro Storico,43.77212,11.24829,Entire home/apt,2,1,1,2,200,2,24,54,84,359,37,2019.8,5,4.87,5,4.93,5,5,4.67,t,1.68,151.2
within an hour,0.96,1,f,247,Centro Storico,43.77389,11.26557,Entire home/apt,10,0,4,8,207,1,10,21,21,251,25,2019,4.76,4.8,4.6,4.76,4.96,5,4.84,t,0.78,72.657
within an hour,1,1,t,5,Centro Storico,43.77157,11.24893,Entire home/apt,2,1,1,2,200,2,30,60,90,365,2,2019.7,5,5,5,5,5,5,5,t,0.08,7.2
within an hour,1,1,t,2,Centro Storico,43.77928,11.25093,Entire home/apt,4,1,1,1,79,2,0,0,0,159,41,2019.1,4.8,4.95,4.83,4.98,4.9,4.88,4.71,t,1.33,47.2815
within an hour,1,1,t,1,Centro Storico,43.77613,11.26641,Entire home/apt,2,1,,1,45,2,5,12,39,314,90,2019.1,4.82,4.89,4.86,4.96,4.89,4.9,4.78,t,2.91,58.9275
within an hour,1,1,t,2,Centro Storico,43.77448,11.2375,Entire home/apt,2,1,1,1,99,2,29,59,89,179,1,2019.6,5,5,5,5,5,5,5,t,0.04,1.782
within an hour,1,1,t,2,Centro Storico,43.77582,11.23582,Entire home/apt,2,1,1,1,99,2,29,52,82,172,10,2019.4,5,5,5,5,5,4.9,5,t,0.37,16.4835
within an hour,0.96,1,f,4,Centro Storico,43.76928,11.26483,Entire home/apt,4,1,1,1,65,2,0,19,49,324,24,2019.5,4.08,4.54,4.17,4.67,4.33,4.96,4.38,t,0.92,26.91
within an hour,1,1,t,1,Centro Storico,43.77375,11.24802,Entire home/apt,4,1,1,3,82,2,13,43,73,163,65,2019,4.98,4.98,4.97,5,5,5,4.92,f,2.02,74.538
within an hour,1,1,t,7,Centro Storico,43.77427,11.26205,Entire home/apt,2,1,1,1,109,2,22,39,69,344,2,2019.4,5,5,4.5,5,5,5,5,t,0.08,3.924
within an hour,1,1,t,7,Centro Storico,43.77427,11.26205,Entire home/apt,2,1,1,1,109,2,18,33,56,331,5,2019.3,5,5,5,5,5,5,5,t,0.18,8.829
within an hour,1,1,t,7,Centro Storico,43.77427,11.26205,Entire home/apt,2,1,1,1,109,2,17,31,57,332,6,2019.4,4.83,5,5,5,5,5,4.83,t,0.22,10.791
within an hour,1,1,t,2,Centro Storico,43.77104,11.25974,Entire home/apt,2,1,,1,50,2,1,1,3,257,73,2018.9,4.79,4.95,4.9,4.97,4.99,4.99,4.78,t,2.24,50.4
within an hour,1,0.98,f,77,Centro Storico,43.77862,11.25118,Entire home/apt,6,2,3,6,92,2,23,49,49,49,5,2020.1,4.2,4.8,4.4,4.8,4.6,5,4.6,t,0.27,11.178
within an hour,1,1,t,4,Centro Storico,43.76707,11.24519,Entire home/apt,2,1,1,1,125,2,18,35,60,329,80,2019,4.89,4.93,4.81,4.89,4.95,4.94,4.85,t,2.53,142.3125
within an hour,1,0.99,f,58,Centro Storico,43.76908,11.24522,Entire home/apt,4,2,1,2,75,2,0,0,0,1,51,2019.3,4.65,4.76,4.75,4.8,4.92,4.92,4.86,t,1.82,61.425
within an hour,1,0.99,f,58,Centro Storico,43.76798,11.2473,Entire home/apt,6,2,1,3,80,2,22,43,70,127,43,2019.1,4.63,4.81,4.67,4.77,4.74,4.93,4.65,t,1.39,50.04
within a few hours,1,0,f,1,Centro Storico,43.76792,11.2443,Entire home/apt,2,1,1,1,34,30,0,0,0,0,1,2019.6,5,5,5,5,5,5,5,f,0.04,0.612
within an hour,1,1,f,2,Centro Storico,43.77371,11.24328,Entire home/apt,2,1,1,1,55,2,0,0,0,236,58,2019.1,4.57,4.76,4.67,4.59,4.74,4.91,4.66,t,1.88,46.53
within an hour,0.89,0.99,f,23,Centro Storico,43.77041,11.25918,Entire home/apt,4,1,1,2,89,2,27,57,87,172,17,2019.4,4.35,4.53,4.59,4.82,4.65,4.88,4.59,t,0.62,24.831
within a day,0.9,1,f,24,Centro Storico,43.76917,11.2548,Entire home/apt,4,1,1,1,500,3,30,46,46,46,1,2019.4,0,,,,,,,t,0.04,9
within an hour,1,1,f,33,Centro Storico,43.77414,11.26285,Entire home/apt,4,1,1,2,112,1,30,60,87,259,1,2019.8,5,5,5,5,5,5,5,t,0.05,2.52
within a few hours,0.83,0.96,f,168,Centro Storico,43.77738,11.25988,Entire home/apt,3,1,1,2,60,1,0,11,41,316,1,2019.4,3,5,5,5,5,5,3,t,0.04,1.08
within an hour,1,0.99,f,19,Centro Storico,43.77453,11.25877,Entire home/apt,2,1,1,1,55,2,1,1,1,1,78,2019.1,4.64,4.85,4.85,4.88,4.87,4.9,4.64,f,2.6,64.35
within an hour,0.96,0.35,f,69,Centro Storico,43.77053,11.24184,Entire home/apt,4,2,2,4,161,3,0,0,0,186,1,2019.4,5,5,5,5,5,5,5,f,0.04,2.898
within an hour,1,1,f,1,Centro Storico,43.77758,11.2509,Entire home/apt,2,1,1,1,64,2,6,14,28,204,33,2019.1,4.88,4.97,4.76,5,5,4.85,4.76,t,1.07,30.816
within an hour,1,0.98,f,77,Centro Storico,43.77985,11.25124,Entire home/apt,4,1,2,4,88,2,29,55,55,55,3,2020.1,4,4,4.33,4,4.33,5,3.67,t,0.16,6.336
within an hour,1,1,t,1,Centro Storico,43.77616,11.25661,Entire home/apt,7,0,3,4,136,2,12,30,51,231,29,2019.8,4.9,4.93,4.97,4.93,4.97,5,4.97,t,1.32,80.784
within an hour,1,0.98,t,8,Centro Storico,43.77348,11.24459,Entire home/apt,5,1,2,3,70,1,8,25,48,323,5,2019.5,4.6,4.8,4.8,5,5,4.8,4.6,t,0.2,6.3
within an hour,1,0.98,t,8,Centro Storico,43.77238,11.24627,Entire home/apt,5,1,1,4,75,1,12,30,47,320,1,2019.1,5,4,5,5,5,5,5,t,0.03,1.0125
within an hour,1,1,t,3,Centro Storico,43.77726,11.25378,Entire home/apt,4,1,1,1,39,2,0,0,20,21,125,2019,4.86,4.95,4.94,4.97,4.92,4.95,4.83,t,3.91,68.6205
within an hour,1,1,t,1,Centro Storico,43.76899,11.25726,Entire home/apt,9,0,3,9,145,2,11,20,32,284,56,2019.1,4.96,4.93,4.95,5,5,5,4.89,t,1.83,119.4075
within an hour,1,1,t,2,Centro Storico,43.77232,11.24899,Entire home/apt,6,0,3,4,196,3,5,15,26,241,51,2019.2,4.98,5,5,5,4.98,4.98,4.94,t,1.75,154.35
within an hour,1,1,f,35,Centro Storico,43.7737,11.26916,Entire home/apt,10,2,4,5,129,2,0,0,0,0,9,2019.1,4.56,4.89,4.67,4.67,4.67,5,4.67,t,0.3,17.415
within a day,0.9,1,f,24,Centro Storico,43.76995,11.25224,Private room,4,1,2,3,500,3,30,47,47,47,2,2019.5,0,,,,,,,t,0.08,18
within an hour,1,1,t,4,Centro Storico,43.77198,11.26181,Entire home/apt,2,1,1,1,49,1,2,25,44,75,61,2019.3,4.84,4.92,4.95,5,4.93,4.97,4.84,t,2.12,46.746
within an hour,1,1,t,17,Centro Storico,43.77011,11.25305,Entire home/apt,4,1,2,3,160,3,29,59,89,364,3,2019.5,4.5,5,5,5,5,5,4.5,f,0.12,8.64
within an hour,1,1,t,19,Centro Storico,43.7803,11.23754,Entire home/apt,6,2,2,3,93,2,21,51,81,356,127,2019,4.86,4.94,4.87,4.97,4.96,4.72,4.76,t,3.96,165.726
within an hour,1,1,t,4,Centro Storico,43.76856,11.24259,Entire home/apt,5,1,2,3,79,2,0,0,0,72,73,2019.1,4.88,4.93,4.93,4.93,4.95,4.92,4.93,t,2.36,83.898
within an hour,0.94,0.93,f,2,Centro Storico,43.76516,11.24774,Entire home/apt,2,1,1,1,50,2,5,20,50,325,88,2019,4.53,4.63,4.56,4.93,4.83,4.98,4.54,f,2.75,61.875
within an hour,1,1,t,59,Centro Storico,43.76732,11.25191,Entire home/apt,2,1,1,1,67,2,18,48,78,191,7,2019.4,4.43,4.71,4.43,5,5,5,4.71,t,0.26,7.839
within an hour,1,0.99,f,9,Centro Storico,43.77677,11.25102,Entire home/apt,4,1,1,1,75,2,20,50,80,355,30,2019.1,4.5,4.63,4.53,4.7,4.67,4.83,4.57,t,1,33.75
within an hour,0.92,0.98,f,4,Centro Storico,43.77721,11.25544,Entire home/apt,2,1,,1,32,4,3,26,56,331,4,2019.5,4.67,5,4,4.33,4,4.67,4.33,t,0.16,2.304
within an hour,0.92,0.98,f,4,Centro Storico,43.7793,11.25551,Entire home/apt,3,1,,1,32,4,10,40,70,345,2,2019.4,3,2.5,4,3,3,5,3.5,t,0.07,1.008
within an hour,0.92,0.98,f,4,Centro Storico,43.77714,11.25533,Entire home/apt,2,1,,1,35,4,10,40,70,345,3,2019.3,2.5,2,2,2.5,2,2.5,2,t,0.11,1.7325
within an hour,1,1,f,8,Centro Storico,43.77175,11.25956,Entire home/apt,8,2,3,5,75,3,13,27,50,310,130,2019,4.79,4.86,4.74,4.92,4.93,4.95,4.82,t,4.07,137.3625
within an hour,1,1,f,8,Centro Storico,43.76535,11.25347,Entire home/apt,4,1,1,2,74,2,21,46,68,330,31,2019,4.4,4.67,4.53,4.77,4.7,4.93,4.47,t,0.97,32.301
within an hour,1,0.98,f,20,Centro Storico,43.77376,11.26418,Entire home/apt,4,1,2,3,59,1,15,26,26,68,22,2019.5,4.41,4.5,4.59,4.86,4.91,4.91,4.32,t,0.87,23.0985
within an hour,1,1,f,4,Centro Storico,43.78034,11.24425,Hotel room,2,1,1,1,73,2,9,33,63,294,2,2019.1,5,5,5,5,5,5,4.5,t,0.06,1.971
within a few hours,0.93,1,f,9,Centro Storico,43.76702,11.2461,Entire home/apt,6,1,2,3,88,2,0,25,55,330,17,2019.1,4.76,4.94,4.88,4.88,4.94,4.94,4.76,t,0.55,21.78
within an hour,1,0.99,f,13,Centro Storico,43.77139,11.2612,Entire home/apt,6,2,3,3,130,4,0,2,2,163,7,2019.4,3.71,4.86,4.57,4.71,4.57,4.71,4.71,t,0.27,15.795
within an hour,1,0.98,t,9,Centro Storico,43.7686,11.26144,Entire home/apt,2,1,1,1,87,2,11,18,39,123,121,2019.1,4.87,4.98,4.91,5,5,4.98,4.85,t,3.92,153.468
within an hour,1,0.98,t,9,Centro Storico,43.7686,11.26138,Entire home/apt,2,1,1,1,99,2,9,16,36,142,149,2019.2,4.92,4.91,4.91,4.97,4.98,4.99,4.83,t,5.11,227.6505
within an hour,1,1,t,3,Centro Storico,43.77277,11.24911,Entire home/apt,5,1,2,3,78,1,5,33,63,338,91,2019.2,4.84,4.89,4.91,4.89,4.88,4.96,4.8,t,3.07,107.757
within an hour,1,0.98,t,9,Centro Storico,43.7686,11.26138,Entire home/apt,2,1,1,1,59,1,7,27,57,108,75,2019,4.81,4.95,4.89,4.99,5,5,4.81,t,2.38,63.189
within an hour,0.99,1,f,26,Centro Storico,43.77247,11.25684,Entire home/apt,4,2,1,1,80,2,1,9,27,138,42,2019.4,4.9,5,4.88,4.9,5,5,4.86,t,1.59,57.24
within an hour,1,0.99,t,2,Centro Storico,43.77363,11.25622,Entire home/apt,3,2,1,2,167,2,5,11,12,40,28,2019.6,5,5,4.93,4.96,5,5,4.96,t,1.14,85.671
within an hour,1,1,t,3,Centro Storico,43.77501,11.24628,Entire home/apt,4,1,,2,45,1,7,26,54,329,82,2019.1,4.83,4.87,4.95,4.98,4.99,4.9,4.78,t,2.67,54.0675
within an hour,0.97,0.98,t,15,Centro Storico,43.77252,11.24501,Entire home/apt,2,1,1,1,75,1,29,59,89,364,6,2019,5,5,4.83,5,5,4.83,4.83,t,0.19,6.4125
