HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within an hour,1,1,f,189,Centro Storico,43.76958,11.26351,Entire home/apt,4,1,1,2,147,3,0,0,0,40,1,2012.4,5,5,5,5,4,5,4,t,0.01,0.6615
within an hour,1,1,f,189,Centro Storico,43.7702,11.26215,Entire home/apt,4,1,1,2,176,3,0,0,0,0,11,2018.5,4.27,4.64,4,4.55,5,4.91,4.45,t,0.29,22.968
within an hour,1,1,f,189,Centro Storico,43.77577,11.26377,Entire home/apt,4,1,1,1,194,3,0,0,0,0,2,2011.8,5,5,5,4.5,4.5,5,5,t,0.02,1.746
within an hour,1,1,f,2,Centro Storico,43.7622,11.2431,Entire home/apt,4,1,2,2,61,2,0,0,0,0,11,2017.8,4.73,5,4.91,5,5,4.82,4.82,t,0.24,6.588
within an hour,1,1,f,189,Centro Storico,43.77569,11.25229,Entire home/apt,8,2,3,5,475,3,14,28,48,268,64,2015.5,4.5,4.68,4.72,4.63,4.7,4.98,4.55,t,0.86,183.825
within an hour,1,1,t,14,Centro Storico,43.77522,11.25454,Private room,2,1,1,1,44,1,4,29,59,81,644,2012.4,4.74,4.8,4.74,4.87,4.86,4.88,4.71,t,5.73,113.454
within a day,1,0.42,f,3,Centro Storico,43.78009,11.24325,Private room,2,0,1,1,19,1,27,57,87,362,66,2013.9,4.67,4.67,4.55,4.73,4.73,4.65,4.67,f,0.7,5.985
within an hour,1,0.98,t,5,Centro Storico,43.77586,11.2443,Entire home/apt,2,1,1,1,55,2,5,14,35,292,251,2012.6,4.89,4.92,4.92,4.94,4.93,4.84,4.84,t,2.28,56.43
within an hour,1,0.98,t,5,Centro Storico,43.77427,11.24729,Entire home/apt,3,1,1,1,57,1,2,11,33,296,519,2012.4,4.81,4.89,4.85,4.95,4.95,4.84,4.81,t,4.64,119.016
within an hour,1,0.98,t,5,Centro Storico,43.76584,11.2544,Entire home/apt,3,1,1,2,57,1,2,12,33,308,367,2013.7,4.82,4.9,4.9,4.91,4.95,4.98,4.84,t,3.81,97.7265
within an hour,1,1,f,189,Centro Storico,43.76958,11.26351,Entire home/apt,4,1,1,2,168,3,0,0,0,40,1,2012.5,0,5,5,5,5,5,4,t,0.01,0.756
within a day,1,0.57,f,1,Centro Storico,43.77225,11.24849,Entire home/apt,4,1.5,2,3,41,5,12,20,25,296,96,2012.7,4.58,4.75,4.87,4.73,4.78,4.78,4.57,f,0.88,16.236
a few days or more,0.33,0,f,1,Centro Storico,43.76554,11.2586,Entire home/apt,4,1,1,4,80,4,11,41,71,346,8,2014.4,4.29,4.57,4.43,4.86,4.71,5,4.71,t,0.09,3.24
within an hour,1,1,f,2,Centro Storico,43.77178,11.26133,Entire home/apt,4,1,1,2,110,4,30,50,50,92,72,2013.4,4.63,4.8,4.63,4.84,4.87,4.89,4.61,t,0.72,35.64
within a few hours,1,0.96,t,5,Centro Storico,43.78127,11.25705,Entire home/apt,4,2,1,1,87,3,30,50,50,50,28,2013.7,4.65,4.67,4.85,4.81,4.59,4.81,4.81,f,0.29,11.3535
within a few hours,1,0.94,f,1,Centro Storico,43.76778,11.24119,Entire home/apt,4,1,1,1,49,2,7,37,67,342,63,2012.1,4.19,4.44,4.38,4.45,4.47,4.55,4.24,f,0.54,11.907
within a few hours,1,0.67,t,2,Centro Storico,43.77249,11.26121,Entire home/apt,3,1.5,1,2,70,2,24,44,74,349,59,2018.8,4.86,4.83,4.85,4.92,4.92,4.9,4.78,f,1.73,54.495
within an hour,1,1,f,6,Centro Storico,43.77987,11.24381,Hotel room,2,2,1,2,62,2,30,60,90,331,9,2012.4,5,3.78,4.22,3.89,3.78,4,3.88,f,0.08,2.232
within a few hours,0.94,0.83,f,1,Centro Storico,43.77902,11.25281,Entire home/apt,3,1,1,2,62,2,7,16,16,86,184,2013.6,4.71,4.74,4.85,4.96,4.97,4.85,4.77,f,1.89,52.731
within an hour,1,1,t,6,Centro Storico,43.77318,11.24431,Entire home/apt,4,1,1,1,63,2,26,56,86,361,282,2012.7,4.57,4.69,4.64,4.86,4.88,4.84,4.63,f,2.6,73.71
within a day,1,0,f,3,Centro Storico,43.76499,11.25764,Entire home/apt,6,2,3,6,61,3,27,57,87,157,2,2015.4,5,5,5,5,5,5,5,f,0.03,0.8235
within an hour,1,0,f,2,Centro Storico,43.78079,11.23523,Private room,2,0,1,1,33,2,11,41,71,71,37,2014.3,4.82,4.94,4.94,4.97,4.85,4.74,4.79,f,0.42,6.237
within an hour,1,1,f,2,Centro Storico,43.772,11.26142,Entire home/apt,4,1,1,1,77,3,18,46,69,69,86,2012.6,4.62,4.74,4.7,4.72,4.8,4.94,4.65,f,0.78,27.027
within an hour,1,0.98,t,1,Centro Storico,43.77022,11.2561,Private room,2,0,1,1,31,1,5,22,49,133,299,2014.5,4.74,4.82,4.71,4.89,4.86,4.98,4.79,f,3.44,47.988
within a few hours,1,1,t,3,Centro Storico,43.76914,11.24193,Entire home/apt,4,1,1,2,70,7,0,0,0,238,44,2013.9,4.79,4.84,4.88,4.91,4.98,4.84,4.84,f,0.47,14.805
within a few hours,1,0.88,t,1,Centro Storico,43.78118,11.23266,Entire home/apt,4,1,1,2,80,3,18,40,70,345,93,2013.3,4.86,4.88,4.96,4.93,4.93,4.64,4.79,f,0.92,33.12
within a few hours,0.97,0.84,t,22,Centro Storico,43.7733,11.24754,Entire home/apt,6,1,2,0,100,3,16,42,42,270,152,2013.1,4.78,4.8,4.89,4.81,4.82,4.83,4.79,t,1.47,66.15
within an hour,1,0.99,f,58,Centro Storico,43.76669,11.25029,Entire home/apt,4,1,1,2,55,2,0,0,0,0,339,2013.3,4.34,4.45,4.6,4.72,4.78,4.9,4.46,t,3.36,83.16
within an hour,1,1,t,2,Centro Storico,43.77299,11.26279,Entire home/apt,2,1,1,1,45,3,29,59,89,364,165,2012.4,4.83,4.88,4.93,4.96,4.98,4.95,4.83,f,1.47,29.7675
within an hour,1,1,t,14,Centro Storico,43.77531,11.25456,Private room,4,1,1,2,47,1,6,28,58,80,623,2013.5,4.8,4.81,4.78,4.91,4.88,4.92,4.8,t,6.29,133.0335
within an hour,1,1,f,2,Centro Storico,43.77326,11.24596,Entire home/apt,2,1,1,0,46,3,10,29,59,334,240,2014.4,4.69,4.84,4.89,4.81,4.9,4.82,4.68,t,2.72,56.304
within a few hours,0.97,0.84,t,22,Centro Storico,43.76509,11.25991,Entire home/apt,4,2,1,0,80,3,29,59,89,364,34,2012.5,4.76,4.79,4.94,4.76,4.88,4.91,4.74,t,0.31,11.16
within an hour,1,1,f,5,Centro Storico,43.77522,11.25963,Entire home/apt,5,2,2,5,119,2,30,60,90,363,43,2012.4,4.33,4.54,4.5,4.39,4.24,4.85,4.43,t,0.38,20.349
within an hour,1,1,f,5,Centro Storico,43.77553,11.25806,Entire home/apt,3,1,1,4,94,2,30,60,90,365,6,2013.9,4,4.67,4.33,4.83,4.83,4.83,4.67,t,0.06,2.538
within an hour,1,1,t,11,Centro Storico,43.7681,11.2564,Entire home/apt,4,1,,2,65,2,0,0,0,0,201,2012.5,4.78,4.9,4.79,4.91,4.92,4.98,4.81,t,1.81,52.9425
within an hour,0.95,1,t,14,Centro Storico,43.77203,11.25575,Entire home/apt,2,1,1,2,100,1,19,48,74,349,392,2013.5,4.77,4.88,4.9,4.95,4.95,4.93,4.79,t,3.96,178.2
within an hour,1,1,f,5,Centro Storico,43.77427,11.24658,Entire home/apt,4,1,1,1,115,2,30,60,90,365,5,2012.4,4.2,4.2,4.4,4.2,4.4,5,4,t,0.04,2.07
within an hour,1,1,f,2,Centro Storico,43.77388,11.24524,Entire home/apt,4,1,1,1,91,3,27,57,87,355,8,2015.6,4.43,4.63,4,4.88,5,5,4.5,f,0.11,4.5045
within an hour,1,0.83,f,10,Centro Storico,43.77525,11.25259,Entire home/apt,2,1,1,1,95,2,13,15,25,288,19,2015.5,4.33,4.22,4.22,4.83,4.83,4.83,4.17,f,0.26,11.115
within an hour,1,0.94,f,6,Centro Storico,43.7686,11.25324,Entire home/apt,4,1.5,2,3,150,3,0,9,39,314,101,2014.8,4.74,4.73,4.77,4.81,4.78,4.91,4.73,t,1.22,82.35
within an hour,1,0.94,f,6,Centro Storico,43.76752,11.25266,Entire home/apt,4,1,2,3,144,3,16,31,40,185,93,2014.5,4.93,4.94,4.9,4.91,4.88,5,4.91,t,1.07,69.336
within an hour,1,1,t,8,Centro Storico,43.77427,11.26205,Entire home/apt,4,1,1,1,97,2,4,14,23,249,344,2013,4.97,4.96,4.97,4.98,4.97,4.92,4.97,t,3.27,142.7355
within an hour,1,1,f,189,Centro Storico,43.76764,11.25023,Entire home/apt,6,2,2,5,173,3,0,13,13,53,3,2013.6,5,4.33,4.67,5,5,4.67,4,t,0.03,2.3355
within a few hours,1,1,t,3,Centro Storico,43.76779,11.25987,Entire home/apt,4,1,1,1,120,3,25,46,49,271,139,2015.4,4.94,4.96,4.96,4.94,4.95,4.98,4.93,f,1.83,98.82
within a few hours,1,0.78,f,15,Centro Storico,43.77368,11.25843,Entire home/apt,5,1,1,3,70,2,15,25,54,329,29,2012.8,4.43,4.71,4.59,4.41,4.31,4.9,4.52,t,0.27,8.505
within a few hours,1,0.78,f,15,Centro Storico,43.77368,11.25843,Entire home/apt,4,1,1,1,70,3,16,35,65,340,13,2016.5,4.83,5,4.92,5,5,5,4.82,t,0.21,6.615
within a few hours,1,1,f,1,Centro Storico,43.76856,11.26299,Entire home/apt,2,1,1,1,50,4,0,26,28,58,31,2018.6,4.7,4.74,4.68,4.97,4.97,4.94,4.58,f,0.83,18.675
within a few hours,1,0.33,f,29,Centro Storico,43.7693,11.26655,Entire home/apt,2,1,1,1,95,3,30,60,90,365,16,2012.5,4.45,4.44,4.63,4.5,4.63,4.25,4.19,f,0.14,5.985
within a few hours,1,0.33,f,29,Centro Storico,43.76926,11.26689,Entire home/apt,4,1,1,2,135,3,30,60,90,365,2,2013.3,4,4.5,4,4.5,4,5,4.5,f,0.02,1.215
within a few hours,1,0.33,f,29,Centro Storico,43.76936,11.26647,Private room,6,2,2,3,220,3,30,60,90,365,8,2013.7,3.88,4.13,4.13,4.75,4.25,4.5,4.25,f,0.08,7.92
within a few hours,1,0.33,f,29,Centro Storico,43.7693,11.26668,Entire home/apt,6,1,2,3,220,3,30,60,90,365,2,2012.6,4.5,5,5,5,5,3.5,4.5,f,0.02,1.98
